이름,주소,카테고리,위도,경도,source
산호약국,서울 영등포구 대림동 990-10,약국,37.48903740303034,126.90564729966489,category
이화약국,서울 금천구 독산동 178-38,약국,37.47232751496735,126.90258775359706,category
새남부약국,서울 금천구 독산동 899-1,약국,37.4799371753912,126.905590907484,category
참약국,서울 금천구 독산동 876-2,약국,37.4798575825451,126.905211128645,category
에이스약국,서울 구로구 구로동 212-1,약국,37.4846672343726,126.894653690399,category
다원약국,서울 금천구 독산동 985,약국,37.47396773072122,126.90087517320195,category
참온누리약국,서울 구로구 구로동 1127-22,약국,37.4821625326869,126.898894796418,category
W스토아청와약국,서울 구로구 가리봉동 131-14,약국,37.480463334450505,126.89090825770643,category
오늘약국,서울 영등포구 대림동 990-1,약국,37.48894935589933,126.90596288385518,category
영광약국,서울 금천구 독산동 144-57,약국,37.475847191711956,126.89765180609311,category
타워약국,서울 구로구 구로동 212-8,약국,37.48356965983889,126.89550321747998,category
청운약국,서울 영등포구 대림동 990-90,약국,37.48784761775,126.905078916953,category
미소온누리약국,서울 관악구 신림동 1475-6,약국,37.4803620422683,126.914522111562,category
신대방수연약국,서울 동작구 신대방동 618-17,약국,37.4877921628294,126.912614050443,category
구로디지털 온누리약국,서울 구로구 구로동 197-30,약국,37.4843876337948,126.892335098633,category
박애약국,서울 금천구 독산동 146-1,약국,37.475735952023406,126.8982138312141,category
하얀약국,서울 금천구 가산동 146-49,약국,37.47838394348105,126.8940293922561,category
그린약국,서울 구로구 구로동 191-7,약국,37.4857059573699,126.895511548858,category
대제일약국,서울 금천구 독산동 165-11,약국,37.4723516938943,126.902407976042,category
엘림온누리약국,서울 관악구 신림동 527-2,약국,37.4821858490695,126.914750681935,category
대성모약국,서울 영등포구 대림동 978-15,약국,37.4904189950821,126.907224090775,category
휴베이스수강약국,서울 영등포구 대림동 1082-13,약국,37.4887579267266,126.898913045432,category
참튼튼병원 구로점 신관,서울 구로구 구로동 1127-22,병원,37.4821553478442,126.898921941142,category
참튼튼병원 구로점 본관,서울 구로구 구로동 1126-34,병원,37.4821386026478,126.900423435696,category
아비쥬의원 구로,서울 구로구 구로동 1125-6,병원,37.48326014293222,126.90124053311682,category
서울연세안과의원,서울 구로구 구로동 1124-72,병원,37.483405776093626,126.89977841665971,category
블리비의원 구로점,서울 관악구 신림동 1655-24,병원,37.48216280183966,126.90134486448817,category
대림성모병원,서울 영등포구 대림동 978-13,병원,37.4906748204891,126.90714688301,category
명이비인후과의원,서울 금천구 독산동 950-2,병원,37.4796984114741,126.904474185166,category
우리동물메디컬센터,서울 금천구 독산동 950-3,병원,37.4797310522388,126.904727395836,category
에스본의원,서울 금천구 독산동 951-4,병원,37.4794525176638,126.903466015407,category
연세봄빛피부과의원,서울 구로구 구로동 1126-9,병원,37.482594609559435,126.90053815513802,category
밴스의원 구로점,서울 구로구 구로동 1124-42,병원,37.4845413355231,126.901191358872,category
남서울요양병원,서울 구로구 가리봉동 137-5,병원,37.4788896761993,126.894327150563,category
서울아가온여성의원,서울 구로구 구로동 1124-72,병원,37.48352197821401,126.89974547267101,category
구로디지털정형외과의원,서울 관악구 신림동 1653,병원,37.4832655713237,126.904556703399,category
정성요양병원,서울 구로구 가리봉동 137-14,병원,37.4795314401302,126.894602110114,category
구로디지털바른본의원,서울 관악구 신림동 1643,병원,37.4843105768399,126.903247201296,category
구로삼성탑정형외과의원,서울 구로구 구로동 1125-6,병원,37.4832601438773,126.901241663759,category
연세허브치과의원,서울 금천구 독산동 951-4,병원,37.47953379659206,126.90369655065666,category
구로한방병원,서울 금천구 독산동 899-5,병원,37.4799628108359,126.906101903617,category
눈에힘안과,서울 구로구 구로동 1126-1,병원,37.4825837717683,126.900507642407,category
지앤산부인과의원 구로점,서울 구로구 구로동 1125-7,병원,37.48314107817279,126.90119082853857,category
에스미의원,서울 구로구 구로동 1123-3,병원,37.48449052943102,126.9018528630286,category
실버한방병원,서울 금천구 독산동 960,병원,37.4790710792098,126.904190077491,category
강남삼성신경외과의원 구로점,서울 구로구 구로동 811,병원,37.48423786057565,126.89925267981836,category
원스치과교정과치과의원,서울 관악구 신림동 1655-17,병원,37.4827841164031,126.901969289418,category
제일성모내과의원,서울 구로구 구로동 1125-6,병원,37.4832421303456,126.901249601971,category
전영수내과의원,서울 금천구 독산동 876-2,병원,37.4798611902049,126.905215646457,category
삼성편한내과의원,서울 구로구 구로동 1124-72,병원,37.48357602905505,126.8997340939677,category
연세봄정신건강의학과,서울 구로구 구로동 1126-9,병원,37.482597324002334,126.90055171914092,category
서울시원한마취통증의학과의원,서울 구로구 구로동 1126-1,병원,37.482563117118666,126.9005890753643,category
러브펫종합동물병원,서울 관악구 신림동 564-3,병원,37.481184580267,126.909569093,category
항외과의원,서울 관악구 신림동 1643,병원,37.48436279542852,126.9031985155763,category
